_051920_080226_RSLT.csv
TARGET LOAD,,0.0500000007451,0.0999999940395,0.149999991059,0.199999988079,0.249999985099,0.299999982119,0.34999999404,0.399999976158,0.449999988079,0.5,0.549999952316,0.599999964237,0.649999976158,0.699999988079,0.749999940395,0.799999952316,0.849999964237,0.899999976158,
SIM TIME (sec),,48.093306976,23.60346138,15.87611253,12.186206102,9.378078686,7.80029833,6.669610181,6.019661269,5.453611661,4.727594825,4.63178176,4.623027158,4.556302489,4.351457761,4.2812488,4.201918768,4.165383151,4.116268273,
ONU LOAD,,0.0550802273032,0.112362207911,0.167142290972,0.217374216621,0.282659498684,0.339758577541,0.397672590005,0.439007868866,0.486370997768,0.559714765742,0.620326805942,0.652267016165,0.723076235161,0.773266460302,0.838894141121,0.87244231205,0.909211388895,0.934224433384,
OFFERED LOAD,,0.0881283636851,0.179779532658,0.267427665556,0.347798746593,0.452255197894,0.543613724066,0.636276144008,0.702412590186,0.778193596429,0.895543625188,0.992522889507,1.04362722586,1.15692197626,1.23722633648,1.34223062579,1.39590769928,1.45473822223,1.49475909341,
CARRIED LOAD,,0.0881277628531,0.179778791072,0.267423273045,0.347795911913,0.45225595114,0.543610009337,0.636274994915,0.702397902316,0.778197351738,0.895523692854,0.914557523539,0.914151089224,0.913872315118,0.912842710229,0.912560155812,0.912365323479,0.912150139919,0.912083271303,
AVG DLY (ms),,0.346784141137,0.348460487729,0.352232006103,0.354350147555,0.359011050356,0.37963878616,0.382305131235,0.491889329212,3.42044843435,37.7124394901,229.491480837,661.285311459,1219.58048715,1465.26670772,1468.93268292,1469.96608705,1470.34829624,1470.90391697,
MAX DLY (ms),,0.592491,0.593725,0.616205,0.644377,0.682002,4.071421,2.068391,14.355901,129.329533,322.590507,1008.085887,1471.971207,1473.518532,1477.11796,1476.925143,1475.589107,1475.534149,1478.224763,
AVG QUEUE (bytes),,239.065964474,490.101770033,736.635612245,964.102768918,1269.77901192,1612.89681937,1901.91940491,2700.67238258,20777.0462435,264193.956979,1844016.59989,5224997.80538,9611569.41465,10466553.9505,10476506.8967,10478871.0246,10480412.6299,10481201.8352,
RECV PACKETS,,1000007,1000011,1000004,1000019,999987,1000007,1000010,1000023,999987,1000028,1084585,1140107,1241984,1271235,1353796,1382852,1430231,1453581,
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,1276,9787,125976,263305,344320,381281,424184,451927,
RECV BYTES,,529798056,530427407,530713964,529793401,530160604,530043653,530464231,528535733,530495709,529220926,574643677,603089626,658910810,672967268,718302907,733186345,757442760,769103679,
SENT BYTES,,529794444,530425219,530705247,529789083,530161487,530040031,530463273,528524681,530498269,529209147,529503857,528268164,520484838,496524562,488362134,479210622,474931853,469297429,
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,939525,6532595,84479298,175538646,229707364,253988076,282472760,299755813,
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0.00117648685903,0.0085842820016,0.101431258374,0.207125354478,0.254336694746,0.275720756813,0.296584258067,0.310905962585,
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0.00163496969967,0.0108318808986,0.128210520632,0.260842769548,0.319791778317,0.346416811677,0.372929513512,0.389746949839,
AVG CYCLE (ms),,0.226400814334,0.228295851881,0.230940720227,0.232994567616,0.236483262861,0.241123302071,0.24763153516,0.264050777997,0.312297194067,0.813114321637,1.96834385726,1.99999319083,2,2,2,2,2,2,
MAX CYCLE (ms),,0.32844,0.342002,0.365442,0.365176,0.379042,1.490736,1.093896,1.756808,2,2,2,2,2,2,2,2,2,2,
CYCLES,,212424,103390,68745,52303,39656,32350,26934,22797,17463,5814,2354,2311,2278,2176,2141,2101,2082,2058,
SCHD PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCHD BYTES,,50162044,39208700,39076199,37617032,38407896,37425343,34328696,34037948,33792017,33839301,36396752,35820500,35309000,33728000,33185500,32565500,32271000,31899000,

