_051620_142356_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
SIM TIME (sec),,46.43330007,24.41355558,15.96484974,11.64315077,9.427847623,7.753599875,6.567283303,5.888211777,5.290412592,4.809917898,4.628389517,4.599249337,4.536949788,4.351073544,4.281791995,4.194632745,4.171875866,4.12475202
ONU LOAD,,0.056947672,0.108293758,0.165992953,0.227346089,0.280214766,0.353093637,0.391104107,0.459228411,0.50064474,0.599209478,0.610034743,0.66138224,0.719583798,0.775373447,0.825920598,0.866009664,0.91357933,0.950707405
OFFERED LOAD,,0.091116274,0.173270013,0.265588725,0.363753742,0.448343626,0.564949819,0.625766571,0.734765458,0.801031584,0.958735166,0.976055589,1.058211584,1.151334077,1.240597514,1.321472957,1.385615463,1.461726929,1.521131848
CARRIED LOAD,,0.091117532,0.173261349,0.265588891,0.3635726,0.448503549,0.546722259,0.645826582,0.718793318,0.800415334,0.878918332,0.909101292,0.913828585,0.913649436,0.913201873,0.91286443,0.912383483,0.912164333,0.911901719
AVG DLY (ms),,24.86740173,3.226604998,9.273584225,40.94989344,29.91805653,38.85229087,92.88977666,80.78004491,141.0275572,302.2421275,493.0919013,840.9347879,1279.525121,1460.577375,1468.377359,1469.724244,1470.358397,1471.28319
MAX DLY (ms),,1106.621936,161.496019,496.808636,1328.046938,962.582569,830.087031,1158.345706,1472.906896,1473.392991,1470.763582,1471.118142,1473.154059,1475.27749,1474.877012,1475.371526,1476.687693,1476.102813,1476.86665
AVG QUEUE (bytes),,17630.80902,4350.743417,19282.14894,116505.9664,104870.4674,207454.3155,423758.2752,498417.8736,851832.237,2288537.397,3642987.315,6510261.302,9724479.899,10465968.96,10475645.75,10478415.47,10480621.06,10481619.93
RECV PACKETS,,999993,1000037,999999,1000509,999629,1033091,969222,1021311,999804,1087092,1066511,1149832,1229991,1272646,1334184,1374557,1440603,1479362
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,3405,3235,32080,10867,33905,143681,265238,327499,373468,432128,474453
RECV BYTES,,528853664,528767137,530010511,529404958,528364423,547549356,513698294,540806828,529723447,576429679,564695682,608372366,652943112,674741378,707284041,726518499,762267912,784286458
SENT BYTES,,528860965,528740697,530010842,529141325,528552890,529883205,530165766,529050910,529315920,528440627,525959361,525365689,518147702,496676064,488586951,478389204,475679546,470171057
DROP BYTES,,0,0,0,0,0,0,0,2284036,2150564,21413190,7384578,22252395,95997909,177215242,218700692,247902927,286508597,314072997
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0.00333395,0.003235634,0.029509922,0.0101893,0.029486916,0.116814676,0.208414594,0.245467642,0.271700628,0.299963279,0.320714605
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0.004223386,0.004059786,0.037147966,0.013077093,0.036576933,0.147023389,0.262641729,0.30921197,0.341220392,0.375863384,0.400456993
AVG CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CYCLES,,23215,12207,7983,5821,4714,3877,3284,2944,2645,2405,2314,2300,2268,2176,2141,2097,2086,2062
UTIL,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1.000007,0.999963001,1.000001,0.999491259,1.000371138,0.96796894,1.031755367,0.979133682,1.000196038,0.919885345,0.937636836,0.869692268,0.813014079,0.785764462,0.749521805,0.727507117,0.694153768,0.675967072
