_051920_072340_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
SIM TIME (sec),,60.21583034,29.71719749,19.77401174,14.68080901,9.824594833,8.533083953,7.475026792,6.623393656,5.91338375,5.38415016,4.956119722,4.672165807,4.631262928,4.572527089,4.303335018,4.238051149,4.184166461,4.149732134
ONU LOAD,,0.044027359,0.088983423,0.133842793,0.18054034,0.268931847,0.310465563,0.354599423,0.399840904,0.44781761,0.492817151,0.535782839,0.576434823,0.683462746,0.708732207,0.762364746,0.79382288,0.839618079,0.884283841
OFFERED LOAD,,0.070443774,0.142373477,0.21414847,0.288864544,0.430290955,0.496744901,0.567359076,0.639745446,0.716508175,0.788507442,0.857252542,0.922295717,1.093540394,1.133971531,1.219783594,1.270116609,1.343388926,1.414854145
CARRIED LOAD,,0.070443548,0.142372762,0.214144369,0.288858926,0.4302726,0.49671357,0.567260669,0.639866631,0.716387362,0.78625664,0.854289134,0.908798109,0.913899812,0.913728758,0.912578554,0.912119938,0.912044381,0.911649444
AVG DLY (ms),,1.002263639,0.994591649,0.990904222,1.008902526,1.264248401,1.27729028,1.241544254,1.696044038,5.274132662,15.16127549,26.4571294,74.72493581,474.5381173,1183.645404,1469.812374,1470.652193,1470.784576,1471.56364
MAX DLY (ms),,2.386116,2.731018,12.013826,16.341483,35.782072,48.715535,35.51091,52.882838,150.930834,445.553689,602.755057,630.530407,1471.874621,1473.199352,1475.692853,1476.695861,1477.417165,1477.061243
AVG QUEUE (bytes),,555.7517141,1111.870843,1668.02927,2289.332068,4257.003621,4990.262097,5536.50967,8458.433089,29646.20017,94701.03367,185394.9578,544076.8094,4026985.101,9420302.448,10480391.05,10480715.51,10481061.02,10481376.26
RECV PACKETS,,1000006,999997,1000030,1000014,1000035,1000075,1000162,999821,1000156,1002835,1003428,1014915,1195805,1221721,1239348,1268547,1329296,1384124
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,7984,94304,231427,265409,324088,381401
RECV BYTES,,530228794,528867592,529321794,530095650,528429287,529845743,530128037,529660741,529623475,530680309,531080779,538639814,633059136,648139443,656142182,672852394,702620361,733908214
SENT BYTES,,530227094,528864934,529311659,530085341,528406745,529812324,530036087,529761073,529534173,529165477,529244903,530756931,529063790,522256187,490891406,483201369,477018189,472887624
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,0,5328183,68276237,165244223,189646681,225589824,261015213
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0.006676674,0.077189473,0.186732863,0.209222835,0.243804239,0.275554069
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0.008416564,0.105341895,0.251842097,0.281854806,0.321069295,0.355651031
AVG CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CYCLES,,30107,14858,9887,7341,4912,4267,3737,3312,2956,2693,2478,2336,2315,2287,2151,2119,2092,2075
SCHD PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCHD BYTES,,466674000,230299000,153248500,113785500,76136000,66138500,57923500,51336000,45818000,41741500,38409000,36208000,35882500,35448500,33340500,32844500,32426000,32162500
,,0.880139859,0.435459009,0.289524135,0.214655059,0.144085973,0.124833827,0.109282182,0.096904062,0.086525105,0.078881752,0.072573207,0.068219552,0.067822634,0.067875692,0.06791828,0.067972696,0.067976444,0.068012987
