_051920_185549_RSLT.csv
TARGET LOAD,,0.0500000007451,0.0999999940395,0.149999991059,0.199999988079,0.249999985099,0.299999982119,0.34999999404,0.399999976158,0.449999988079,0.5,0.549999952316,0.599999964237,0.649999976158,0.699999988079,0.749999940395,0.799999952316,0.849999964237,0.899999976158,
SIM TIME (sec),,60.089421503,29.8393125,19.748241057,14.854011632,9.890755592,8.508332821,7.44185232,6.583278547,5.927827312,5.354889485,4.967122523,4.667427781,4.470097041,4.353666556,4.281970654,4.229022672,4.171279341,4.1459024,
ONU LOAD,,0.0439901550703,0.0888289158807,0.134130187714,0.178451752339,0.267503410674,0.311225851845,0.355768911577,0.403452643852,0.449345768661,0.497165729089,0.533707871655,0.573694259588,0.66766676151,0.711263948483,0.755528225533,0.802558362354,0.843514494562,0.89018716046,
OFFERED LOAD,,0.0703842481124,0.142126265409,0.214608300343,0.285522803743,0.428005457078,0.497961362953,0.569230258523,0.645524230163,0.718953229858,0.795465166542,0.853932594648,0.91791081534,1.06826681842,1.13802231757,1.20884516085,1.28409337977,1.3496231913,1.42429945674,
CARRIED LOAD,,0.0703843692652,0.142123696717,0.214607669198,0.285514419207,0.427994167344,0.497948484284,0.569183239046,0.643772719891,0.712318714051,0.788848714774,0.853311149941,0.909060837593,0.913148161787,0.912177583864,0.911634316866,0.911394947471,0.91089988116,0.911071930685,
AVG DLY (ms),,0.998955446238,0.995356038624,0.989837218758,0.994554171759,1.0666649946,1.14537664354,1.27734290172,4.29762285675,6.99320001807,10.4758860393,8.70217325376,37.8026683582,137.443741057,146.299623305,146.460386197,146.548759459,146.674561147,146.676520791,
MAX DLY (ms),,2.012273,2.58317,3.009925,12.017498,17.292093,23.712754,36.849005,148.932576,149.103341,148.872557,121.252109,147.373829,149.222977,149.269484,149.451693,149.398992,149.264491,149.582936,
AVG QUEUE (bytes),,552.936687777,1112.3399244,1670.53160866,2229.80104897,3588.54025594,4481.26525567,5700.42838946,21112.3883883,38776.7473059,60923.817164,58137.6070303,271159.317575,992295.66461,1042602.3657,1043162.69866,1043590.83655,1043919.66323,1044234.47093,
RECV PACKETS,,1000007,1000016,1000004,1000005,1000034,1000026,1000080,1001881,1007945,1004918,1000680,1009824,1126088,1171039,1222561,1280503,1330421,1392687,
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
DROP PACKETS,,0,0,0,0,0,0,0,1915,4478,8194,0,186,103964,170129,222129,279776,330469,391866,
RECV BYTES,,528668594,530118756,529767056,530144881,529162171,529602626,529515940,531208227,532728824,532453507,530198478,535535305,596907043,619321213,647029938,678807502,703706917,738125817,
SENT BYTES,,528669504,530109175,529765498,530129313,529148213,529588929,529472201,529766892,527812791,528024711,529812629,530371976,510232612,496414630,487948924,481788737,474952232,472151913,
DROP BYTES,,0,0,0,0,0,0,0,1472150,3232108,6010259,0,110423,75625698,122891742,159074740,197000381,228771983,265950631,
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0.00191140464786,0.00444270272684,0.00815389912411,0,0.000184190512406,0.0923231576928,0.145280387758,0.181691547497,0.218489140596,0.248394305261,0.281374063232,
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0.00277132379578,0.00606707926132,0.0112878569133,0,0.000206191821471,0.126695938483,0.198429731487,0.245853755225,0.290215385687,0.325095544002,0.36030528248,
AVG CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
MAX CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
CYCLES,,30044,14919,9874,7427,4946,4254,3721,3291,2964,2678,2483,2334,2235,2177,2141,2114,2086,2073,
SCHD PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCHD BYTES,,465697500,231244500,153047000,115118500,76663000,65937000,57675500,51010500,45942000,41509000,38486500,36177000,34642500,33743500,33185500,32767000,32333000,32131500,

