_051620_140145_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
SIM TIME (sec),,59.55854325,29.71238262,19.85425926,14.77311398,9.886014456,8.434584791,7.336052704,6.582730087,5.937165129,5.405215551,4.959304606,4.655237143,4.639723661,4.580847089,4.302192667,4.246790047,4.179684836,4.150640644
ONU LOAD,,0.044532002,0.08920797,0.133312543,0.179365239,0.268312212,0.314122316,0.360480106,0.403024074,0.446019041,0.491038434,0.535214529,0.579063519,0.660368094,0.72159355,0.756572709,0.799410655,0.849638176,0.89344971
OFFERED LOAD,,0.071251204,0.142732753,0.21330007,0.286984383,0.429299539,0.502595706,0.57676817,0.644838518,0.713630465,0.785661495,0.856343247,0.92650163,1.05658895,1.154549681,1.210516334,1.279057049,1.359421081,1.429519536
CARRIED LOAD,,0.071251815,0.142727875,0.213298233,0.286984675,0.429287008,0.502574494,0.576759601,0.643828634,0.714708916,0.78508021,0.855095369,0.910069974,0.913922371,0.913733365,0.912402528,0.912175064,0.912397708,0.911918456
AVG DLY (ms),,0.998656566,0.997602313,0.985860231,1.007837767,1.018665881,1.26239041,4.041383504,2.299849086,5.223366054,5.918645896,12.26908327,61.61567802,392.1336421,1116.472514,1469.764237,1470.622291,1470.449666,1471.011806
MAX DLY (ms),,6.942336,15.273623,4.637051,20.417,9.293257,25.945843,192.608355,95.033231,245.121144,122.635823,167.533544,256.111711,848.161515,1474.425812,1475.73539,1475.906653,1476.678341,1476.9376
AVG QUEUE (bytes),,559.5164529,1117.075974,1652.981289,2270.380393,3428.595932,4992.177064,18265.68732,11844.12323,28576.86702,36496.95804,82467.73921,447331.3455,3237051.29,9171385.185,10480347.04,10480746.58,10481126.86,10481441.47
RECV PACKETS,,999993,1000031,1000010,999987,1000039,1000048,1000028,1001512,998514,1000725,1001496,1018153,1157061,1249366,1230037,1279551,1342971,1399745
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,88716,224612,275622,338789,394760
RECV BYTES,,530452238,530116270,529364360,529956625,530507681,529898262,528900212,530599739,529617739,530833716,530858376,539135600,612785094,661101943,650984312,678985843,710243960,741677736
SENT BYTES,,530456786,530098153,529359801,529957165,530492196,529875898,528892354,529768765,530418107,530440970,530084800,529573943,530043406,523209103,490666433,484226998,476691858,473130726
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,0,0,63780229,160313910,194750018,233556263,268527009
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071008816,0.182605889,0.215405248,0.252268292,0.282022797
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096475634,0.246263861,0.286824858,0.328839492,0.362053485
AVG CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX CYCLE (ms),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CYCLES,,29778,14856,9927,7387,4943,4217,3668,3292,2968,2703,2479,2328,2320,2290,2151,2124,2090,2075
UTIL,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1.000007,0.999969001,0.99999,1.000013,0.999961002,0.999952002,0.999972001,0.998490283,1.001488211,0.999275525,0.998506235,0.982170656,0.864258669,0.800405966,0.812983674,0.781524144,0.744617717,0.71441584
