_051620_110308_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
SIM TIME (sec),,59.42419435,29.62998463,19.81820115,14.82585226,9.939243144,8.384002246,7.271135199,6.585504022,5.966015696,5.382101105,4.870701976,4.624271741,4.621604978,4.566978168,4.30915942,4.23748623,4.189059387,4.15045744
ONU LOAD,,0.044536051,0.089386443,0.133531291,0.178793713,0.266628342,0.315902282,0.364939527,0.402554547,0.444549637,0.490861457,0.543204478,0.607343567,0.667599816,0.711341153,0.757362472,0.802882133,0.835898,0.884603322
OFFERED LOAD,,0.071257682,0.143018308,0.213650066,0.286069942,0.426605347,0.505443652,0.583903243,0.644087276,0.711279419,0.785378331,0.869127165,0.971749708,1.068159706,1.138145845,1.211779955,1.284611414,1.337436801,1.415365315
CARRIED LOAD,,0.071257111,0.143018121,0.213647439,0.286066173,0.426604401,0.505439327,0.583897043,0.644089542,0.711266208,0.785383352,0.869092323,0.919302293,0.913992424,0.913962598,0.912735045,0.912281389,0.912141257,0.911766335
AVG DLY (ms),,0.33033183,0.332732743,0.334807977,0.335935038,0.338326176,0.338437538,0.344323919,0.343147157,0.345742032,0.364373963,0.524015598,126.7475151,504.5412817,1160.874623,1468.90276,1470.405315,1470.750785,1471.351172
MAX DLY (ms),,0.513159,0.540146,0.549983,0.566868,0.580787,0.602614,0.604084,0.595527,0.619975,1.474019,2.491038,1424.07696,1472.944795,1473.196121,1475.827504,1476.406012,1477.105907,1476.934147
AVG QUEUE (bytes),,186.6857184,376.2060846,564.2190497,756.869771,1133.381943,1341.146299,1573.972872,1728.637014,1921.599027,2235.233954,3556.009839,1050757.494,4051628.418,9299695.52,10480343.21,10480762.89,10481040.7,10481377.73
RECV PACKETS,,1000006,999999,1000026,1000002,1000027,999979,1000001,999995,1000041,999999,1000025,1056185,1164428,1226271,1232758,1284825,1323388,1385394
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,9996,10650,89960,225402,279902,319619,381774
RECV BYTES,,529303792,529703784,529269998,530153836,530016784,529705089,530704928,530204918,530438022,528373198,529157425,561704339,617076527,649735903,652719126,680440397,700325273,734301688
SENT BYTES,,529299551,529703090,529263491,530146852,530015609,529700557,530699293,530206784,530428170,528376576,529136212,531387952,528013992,521755904,491640102,483222478,477626737,473030921
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,6975675,7388871,65363631,161072939,197222790,222689044,261263132
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0.009464251,0.009146122,0.073360619,0.182843672,0.217852237,0.241515716,0.275570704
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0.012418766,0.011973995,0.100600307,0.246772207,0.289845798,0.317979448,0.355798082
AVG CYCLE (ms),,0.217076523,0.218069637,0.219184244,0.220190434,0.222310198,0.223084012,0.227599876,0.227352333,0.229542026,0.240175342,0.311805008,1.85599851,1.999968218,2,2,2,2,2
MAX CYCLE (ms),,0.29849,0.305922,0.326026,0.330914,0.341346,0.33933,0.346892,0.353674,0.348522,0.787824,1.274104,2,2,2,2,2,2,2
CYCLES,,273747,135874,90418,67332,44709,37582,31947,28966,25991,22409,15621,2492,2311,2283,2155,2119,2094,2075
,,0.999994,1.000001,0.999974001,0.999998,0.999973001,1.000021,0.999999,1.000005,0.999959002,1.000001,0.999975001,0.946803827,0.858790754,0.815480428,0.81118922,0.778316113,0.755636291,0.721816321
