_051920_075755_RSLT.csv
TARGET LOAD,,0.0500000007451,0.0999999940395,0.149999991059,0.199999988079,0.249999985099,0.299999982119,0.34999999404,0.399999976158,0.449999988079,0.5,0.549999952316,0.599999964237,0.649999976158,0.699999988079,0.749999940395,0.799999952316,0.849999964237,0.899999976158,
SIM TIME (sec),,52.891920868,26.469051462,17.659798648,13.25114842,10.588230736,8.830475734,7.579519686,6.619749178,5.892820776,5.296785911,4.813064967,4.640112515,4.625484093,4.614098518,4.35008541,4.275161598,4.215943064,4.154264566,
ONU LOAD,,0.0500060574771,0.100007044408,0.150026862016,0.200010586328,0.250008023626,0.300006723284,0.350009021667,0.400059642562,0.449995852716,0.499952410669,0.549994157185,0.600016170082,0.650067765783,0.70004360167,0.749958016342,0.799921975253,0.849921211128,0.899788583662,
OFFERED LOAD,,0.0800096919634,0.160011271053,0.240042979226,0.320016938124,0.400012837801,0.480010757255,0.560014434667,0.640095428099,0.719993364346,0.79992385707,0.879990651495,0.960025872131,1.04010842525,1.12006976267,1.19993282615,1.27987516041,1.3598739378,1.43966173386,
CARRIED LOAD,,0.0800095591643,0.160011119329,0.240041979894,0.320009892697,0.40000194193,0.480019867523,0.560011096197,0.640076152444,0.720007909502,0.799935302501,0.879945929888,0.914525256507,0.91401110608,0.913868937898,0.912538930586,0.912258755745,0.912065827652,0.912057210561,
AVG DLY (ms),,0.354487385622,0.355437255179,0.35601978903,0.358249181828,0.359987652021,0.363281660218,0.366502170527,0.377824624582,0.393851081184,0.42333013724,0.591384079928,109.833903718,484.49572465,1135.98187806,1469.50601811,1470.36958913,1470.89324322,1470.76085521,
MAX DLY (ms),,0.615676,0.602582,0.579252,0.610733,0.626982,0.627836,0.658072,0.726282,0.848401,0.800121,1.332986,225.043575,771.755005,1473.432824,1476.971266,1477.207524,1475.766168,1477.418144,
AVG QUEUE (bytes),,221.877674238,444.829539325,668.493794965,896.722802974,1126.34266915,1363.58047388,1605.13966921,1891.12606823,2216.91205623,2645.80742617,4066.9225405,823755.5593,3933325.95798,9250928.56718,10478470.4359,10479854.0332,10480739.8625,10481303.5114,
RECV PACKETS,,1000015,999993,999998,1000020,1000024,999997,999990,1000037,999986,999988,1000061,1049450,1137913,1217774,1231116,1289890,1352151,1412962,
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,71602,224688,284588,347146,407441,
RECV BYTES,,528983287,529418321,529888835,530073993,529428528,529840418,530580054,529658898,530348982,529628177,529431522,556828508,601375622,646014029,652476285,683959142,716643887,747591966,
SENT BYTES,,528982409,529417819,529886629,530062323,529414107,529850474,530576891,529642948,530359696,529635755,529404616,530437511,528467979,527085164,496202786,487506700,480652200,473615869,
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,0,0,50670655,156250529,196413003,235961122,273984056,
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587974451746,0.18250757849,0.220629666096,0.256736118969,0.28835948879,
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784358430705,0.23947311587,0.287170666987,0.329258542884,0.366488764541,
AVG CYCLE (ms),,0.227824911786,0.229019573991,0.230446474939,0.232187168229,0.234595312359,0.237483398989,0.240728053992,0.247786196818,0.258076199177,0.277565978934,0.365871621437,1.96689034167,2,2,2,2,2,2,
MAX CYCLE (ms),,0.262802,0.26924,0.291492,0.302756,0.339918,0.372622,0.345028,0.390904,0.471032,0.44116,0.721384,2,2,2,2,2,2,2,
CYCLES,,232160,115575,76633,57071,45134,37184,31486,26715,22834,19083,13155,2359,2313,2307,2175,2138,2108,2077,
SCHD PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCHD BYTES,,53809555,44066384,40797417,39155127,38141435,37513715,37056241,36569254,36319389,35937519,35452701,35968100,35851500,35758500,33712500,33139000,32674000,32193500,

